SampleID,Meter,MeterComp,Formation,d13c,d18o,d13corg,D13C,Age,Facies,F_Num,FaciesAssociation,Fa_Num
330278.2,271,580,Upper Mbr. AVLS,-2.222833333,-8.434088889,-28.46217298,26.23933965,455.82,F2E,1,FA5,1
330278.1,270,579,Upper Mbr. AVLS,-2.713544683,-10.31491289,-27.67969416,24.96614947,455.88,F2E,1,FA5,1
330278,265,574,Upper Mbr. AVLS,-2.122431997,-9.102578385,-28.32031154,26.19787954,455.94,F2E,1,FA5,1
330277,263.5,572.5,Upper Mbr. AVLS,-2.501666667,-9.371777778,,,455.99,F2E,1,FA5,1
330276,262,571,Upper Mbr. AVLS,-1.862417589,-8.080375556,-28.1407086,26.27829101,456.09,F2E,1,FA5,1
330275,260.5,569.5,Upper Mbr. AVLS,-1.752900609,-7.584662764,,,456.18,F2E,1,FA5,1
330274,259,568,Upper Mbr. AVLS,-2.258839033,-8.783718889,-27.79121151,25.53237248,456.27,F2E,1,FA5,1
330271,254.5,563.5,Upper Mbr. AVLS,-1.744509605,-6.299981716,,,457.87,F2E,1,FA5,1
330270,253,562,Upper Mbr. AVLS,-2.056816742,-7.477354667,-29.87709265,27.82027591,458.27,F2E,1,FA5,1
330269,251.5,560.5,Upper Mbr. AVLS,-1.869219267,-7.969544667,-29.69005433,27.82083507,458.68,F2E,1,FA5,1
330267,248.5,557.5,Upper Mbr. AVLS,-1.3375,-6.0964,-31.67188058,30.33438058,459.66,F2D,2,FA4,1
330264,244,553,Upper Mbr. AVLS,-1.23297305,-6.94566,-30.93186267,29.69888962,460.55,F2D,2,FA4,1
330262,241.1,550.1,Upper Mbr. AVLS,-0.096419793,-6.079508871,,,460.72,F2D,2,FA4,1
330261,241,550,Upper Mbr. AVLS,0.472,-5.9234,-29.78392679,30.25592679,460.73,F2D,2,FA4,1
330260,239.5,548.5,Upper Mbr. AVLS,-0.069733388,-10.75931991,,,460.82,F2D,2,FA4,1
330259,238,547,Upper Mbr. AVLS,0.147557897,-6.628390652,,,460.91,F2D,2,FA4,1
330258,236.5,545.5,Upper Mbr. AVLS,-0.497416316,-7.050544366,-30.97300669,30.47559037,461,F2D,2,FA4,1
330257,235,544,Upper Mbr. AVLS,0.262933801,-11.38681496,-29.91369551,30.17662931,461.1,F2D,2,FA4,1
330256,233.5,542.5,Upper Mbr. AVLS,-0.592770817,-6.56228812,,,461.15,F2D,2,FA4,1
330255,232,541,Upper Mbr. AVLS,-0.338943829,-6.806580086,-29.86626048,29.52731665,461.21,F2D,2,FA4,1
330254,230.5,539.5,Upper Mbr. AVLS,-0.376251899,-6.198372051,,,461.27,F2D,2,FA4,1
330253,229,538,Upper Mbr. AVLS,-0.096,-8.6564,-29.55179036,29.45579036,461.33,F2D,2,FA4,1
330252,227.5,536.5,Upper Mbr. AVLS,0.137943239,-7.046082014,,,461.38,F2D,2,FA4,1
330251,226,535,Upper Mbr. AVLS,-1.261951058,-10.35599866,,,461.44,F2D,2,FA4,1
330249,223,532,Upper Mbr. AVLS,0.593678058,-10.150027,,,461.47,F2D,2,FA4,1
330248,221.5,530.5,Upper Mbr. AVLS,0.634,-6.0874,-29.69291825,30.32691825,461.48,F2D,2,FA4,1
330247,220,529,Upper Mbr. AVLS,-0.073579251,-1.968641137,,,461.5,F2D,2,FA4,1
330246,218.5,527.5,Upper Mbr. AVLS,0.280511403,-6.315696527,,,461.51,F2D,2,FA4,1
330245,217,526,Upper Mbr. AVLS,-0.665111435,-6.826835233,,,461.52,F2D,2,FA4,1
330244,215.5,524.5,Upper Mbr. AVLS,0.462,-6.0604,-30.19489399,30.65689399,461.54,F2D,2,FA4,1
330239,208,517,Upper Mbr. AVLS,0.095425082,-6.628032456,,,461.64,F2D,2,FA4,1
330235,202,511,Upper Mbr. AVLS,0.703,-6.5174,-29.77175,30.47475,461.76,F2D,2,FA4,1
330230,194.5,503.5,Upper Mbr. AVLS,0.363,-6.4614,-28.66175,29.02475,461.92,F2B,4,FA3,2
330225,187,496,Upper Mbr. AVLS,0.4545,-7.4139,-29.87775,30.33225,462.08,F2B,4,FA3,2
330221,181,490,Upper Mbr. AVLS,0.074753104,-6.524559203,-30.07375,30.1485031,462.2,F2B,4,FA3,2
330217,175,484,Upper Mbr. AVLS,0.28,-6.3124,-31.14775,31.42775,462.33,F2C,3,FA3,2
330212,167.5,476.5,Upper Mbr. AVLS,0.466,-11.0434,-29.73375,30.19975,462.48,F2C,3,FA3,2
330207,160,469,Upper Mbr. AVLS,0.323,-6.1654,-29.67175,29.99475,462.64,F2B,4,FA3,2
330203,154,463,Upper Mbr. AVLS,-0.25407558,-6.902044958,-28.70675,28.45267442,462.76,F2B,4,FA3,2
330200,149.5,458.5,Upper Mbr. AVLS,0.262,-6.4364,-31.00975,31.27175,462.91,F2B,4,FA3,2
330196,143.5,452.5,Upper Mbr. AVLS,0.786,-6.5794,-30.39075,31.17675,463.1,F2A,6,FA2,2
330193,139,448,Upper Mbr. AVLS,-0.06520665,-6.982956,,,463.25,F2A,6,FA2,2
330191,136,445,Upper Mbr. AVLS,-0.506,-6.4564,-30.15275,29.64675,463.35,F2A,6,FA2,2
330188,131.5,440.5,Upper Mbr. AVLS,-0.2109275,-7.086276,,,463.5,F2A,6,FA2,2
330187,130,439,Upper Mbr. AVLS,0.27,-6.7904,-30.18875,30.45875,463.55,F2A,6,FA2,2
330184,125.5,434.5,Upper Mbr. AVLS,-0.88704225,-6.772788,,,463.71,F2A,6,FA2,2
330182,122.5,431.5,Upper Mbr. AVLS,0.464,-7.5324,-30.85875,31.32275,463.81,F2A,6,FA2,2
330180,119.5,428.5,Upper Mbr. AVLS,0.44619105,-7.390692,,,463.92,F2A,6,FA2,2
330178,116.5,425.5,Upper Mbr. AVLS,0.28531884,-7.448153791,-30.93175,31.21706884,464.02,F2A,6,FA2,2
330176,113.5,422.5,Upper Mbr. AVLS,0.47868455,-7.478388,,,464.13,F2A,6,FA2,2
330174,110.5,419.5,Upper Mbr. AVLS,0.39,-7.4884,-30.68575,31.07575,464.23,F2A,6,FA2,2
330172,107.5,416.5,Upper Mbr. AVLS,0.3169669,-6.81714,,,464.33,F2A,6,FA2,2
330170,104.5,413.5,Upper Mbr. AVLS,0.388,-7.3744,-30.55875,30.94675,464.44,F2A,6,FA2,2
330169,103,412,Upper Mbr. AVLS,-1.146335869,-8.133185047,,,464.62,F2A,6,FA2,2
330168,101.5,410.5,Mid Mbr. AVLS,-0.7498197,-7.529544,-30.19685972,29.44704002,464.8,F1,5,FA1,3
330167,100,409,Mid Mbr. AVLS,-0.55502113,-6.982524154,,,464.97,F1,5,FA1,3
330166,98.5,407.5,Mid Mbr. AVLS,-0.205,-7.3714,-29.49375,29.28875,465.05,F1,5,FA1,3
330165,97,406,Mid Mbr. AVLS,-0.0764544,-7.478892,,,465.14,F1,5,FA1,3
330164,95.5,404.5,Mid Mbr. AVLS,-1.36144735,-7.462764,-30.42696053,29.06551318,465.22,F1,5,FA1,3
330162,92.5,401.5,Mid Mbr. AVLS,-1.8141068,-8.138628,-30.71419004,28.90008324,465.39,F1,5,FA1,3
330160,89.5,398.5,Mid Mbr. AVLS,-1.93,-7.3544,-29.95275,28.02275,465.56,F1,5,FA1,3
330158,86.5,395.5,Mid Mbr. AVLS,-2.1515393,-7.561044,-31.00052135,28.84898205,465.72,F1,5,FA1,3
330156,83.5,392.5,Mid Mbr. AVLS,-2.3619972,-7.709724,-30.65588345,28.29388625,465.89,F1,5,FA1,3
330154,80.5,389.5,Mid Mbr. AVLS,-1.755,-7.2609,-29.81475,28.05975,465.99,F1,5,FA1,3
330150,74.5,383.5,Mid Mbr. AVLS,-1.88934175,-7.570872,-30.30863972,28.41929797,466.2,F1,5,FA1,3
330148,71.5,380.5,Mid Mbr. AVLS,-1.53541255,-7.330464,,,466.3,F1,5,FA1,3
330146,68.5,377.5,Mid Mbr. AVLS,-1.245,-6.8694,-29.33321429,28.08821429,466.41,F1,5,FA1,3
330144,65.5,374.5,Mid Mbr. AVLS,-1.56890585,-8.436744,,,466.51,F1,5,FA1,3
330142,62.5,371.5,Mid Mbr. AVLS,-1.3347027,-8.23338,,,466.62,F1,5,FA1,3
330139,58,367,Mid Mbr. AVLS,-0.144,-7.9604,-29.04375,28.89975,466.77,F1,5,FA1,3
330136,53.5,362.5,Mid Mbr. AVLS,-0.37264515,-7.175232,,,466.93,F1,5,FA1,3
330134,50.5,359.5,Mid Mbr. AVLS,-1.1192458,-6.654852,,,467.03,F1,5,FA1,3
330133,49,358,Mid Mbr. AVLS,-1.138,-7.2654,,,467.08,F1,5,FA1,3
330130,44.5,353.5,Mid Mbr. AVLS,-0.70357895,-7.222608,,,467.24,F1,5,FA1,3
905536,44.5,353.5,Mid Mbr. AVLS,-0.63327338,-11.72021042,,,467.24,F1,5,FA1,3
905535,43,352,Mid Mbr. AVLS,-0.5305114,-11.02308426,,,467.29,F1,5,FA1,3
905535,43,352,Mid Mbr. AVLS,-0.557832502,-11.38480474,,,467.29,F1,5,FA1,3
330128,41.5,350.5,Mid Mbr. AVLS,-0.9152866,-7.237224,,,467.34,F1,5,FA1,3
905533,40,349,Mid Mbr. AVLS,-0.359233919,-8.661050387,,,467.39,F1,5,FA1,3
330126,38.5,347.5,Mid Mbr. AVLS,-0.397,-7.2344,-29.20875,28.81175,467.45,F1,5,FA1,3
905531,37,346,Mid Mbr. AVLS,-0.267660198,-10.98892735,,,467.5,F1,5,FA1,3
330123,34,343,Mid Mbr. AVLS,-0.333403,-7.828164,,,467.6,F1,5,FA1,3
905529,34,343,Mid Mbr. AVLS,-0.333794601,-9.26775176,,,467.6,F1,5,FA1,3
330121,31,340,Mid Mbr. AVLS,-0.40813805,-8.119728,,,467.7,F1,5,FA1,3
905527,31,340,Mid Mbr. AVLS,-0.337987827,-7.379945732,,,467.7,F1,5,FA1,3
905527,31,340,Mid Mbr. AVLS,-0.416987236,-7.547911431,,,467.7,F1,5,FA1,3
330119,28,337,Mid Mbr. AVLS,-0.241,-7.3574,-29.26975,29.02875,467.81,F1,5,FA1,3
905525,28,337,Mid Mbr. AVLS,-0.28419746,-7.688227977,,,467.81,F1,5,FA1,3
905523,25,334,Mid Mbr. AVLS,-0.336969352,-7.594364,,,467.91,F1,5,FA1,3
330115,22,331,Mid Mbr. AVLS,-0.1474402,-8.232876,,,468.02,F1,5,FA1,3
905521,22,331,Mid Mbr. AVLS,-0.129426456,-7.908572668,,,468.02,F1,5,FA1,3
905519,19,328,Mid Mbr. AVLS,-0.535799295,-7.475084501,,,468.12,F1,5,FA1,3
330111,16,325,Lower Mbr. AVLS,-0.31965575,-6.933312,,,468.22,F0,6,FA0,4
905517,16,325,Lower Mbr. AVLS,-0.452809112,-7.848216718,,,468.22,F0,6,FA0,4
330109,13,322,Lower Mbr. AVLS,-0.429,-6.7384,-28.90575,28.47675,468.33,F0,6,FA0,4
905515,13,322,Lower Mbr. AVLS,-0.597690871,-8.23556805,,,468.33,F0,6,FA0,4
905513,10,319,Lower Mbr. AVLS,-1.195684708,-8.548218588,,,468.43,F0,6,FA0,4
905511,7,316,Lower Mbr. AVLS,-0.847616594,-8.706952678,,,468.53,F0,6,FA0,4
905509,4,313,Lower Mbr. AVLS,-0.523438837,-7.655836814,,,468.64,F0,6,FA0,4
330101,1,310,Lower Mbr. AVLS,-0.383,-8.6454,-28.76375,28.38075,468.74,F0,6,FA0,4
905507,1,310,Lower Mbr. AVLS,-0.527223972,-8.029498124,,,468.74,F0,6,FA0,4
