Temp,pH,IonicStrenght,DIC,Ca_flu,Sr_flu,SI,Calcite_mmole,Calcite_gram,logR,Sr_calc,Sr_calc_gram,Sr_calc_mmol,SrCa,DSr,D44Ca
25,8.3,35,0.58,9.90,0.67,0.78,4.50,0.45,2.41,4.20,1.89E-06,2.16E-05,0.00,−1.17,-0.73
40,8.3,36,0.32,10.10,0.74,0.71,9.10,0.91,2.31,4.30,3.92E-06,4.47E-05,0.00,−1.21,-0.66
40,8.3,35,0.72,9.90,0.65,1.05,10.00,1.00,4.20,5.58,5.58E-06,6.37E-05,0.01,−1.05,-0.46
5,8.3,37,1.60,10.30,0.63,0.95,4.80,0.48,2.84,7.99,3.84E-06,4.38E-05,0.01,−0.88,-1.23
5,8.3,36,1.95,9.90,0.67,1.03,9.30,0.93,2.94,9.16,8.53E-06,9.73E-05,0.01,−0.85,-1.21
25,8.3,35,1.15,9.80,0.78,1.07,5.90,0.59,3.82,9.37,5.53E-06,6.31E-05,0.01,−0.90,-0.93
40,8.5,35,0.14,9.90,94.60,0.51,2.90,0.29,1.85,473.00,1.37E-04,1.57E-03,0.54,−1.26,-0.60
40,9,35,0.08,10.00,90.50,0.65,3.40,0.34,2.33,475.00,1.62E-04,1.84E-03,0.54,−1.24,-0.51
25,8.3,35,0.43,9.90,93.10,0.65,3.10,0.31,2.39,525.00,1.63E-04,1.86E-03,0.60,−1.21,-0.51
40,8.3,36,0.37,10.00,96.00,0.76,12.10,1.21,2.69,578.00,7.00E-04,7.99E-03,0.66,−1.22,-0.59
40,8.7,36,0.24,10.30,96.10,0.87,3.70,0.37,2.86,598.00,2.21E-04,2.53E-03,0.68,−1.15,-0.71
25,8.3,36,0.44,10.00,96.50,0.66,7.30,0.73,2.25,600.00,4.38E-04,5.00E-03,0.69,−1.18,-0.62
40,9,35,0.15,9.90,92.80,0.92,1.60,0.16,2.97,628.00,1.01E-04,1.15E-03,0.72,−1.13,-0.66
40,9,35,0.13,10.00,97.30,0.84,10.20,1.02,2.76,640.00,6.53E-04,7.46E-03,0.73,−1.17,-0.59
25,8.3,35,0.47,9.70,92.10,0.69,6.00,0.60,2.41,673.00,4.04E-04,4.61E-03,0.77,−1.12,-0.67
5,9,35,0.24,10.10,96.20,0.77,5.80,0.58,2.18,687.00,3.99E-04,4.55E-03,0.78,−1.11,-0.79
5,8.5,36,0.53,10.20,97.60,0.67,3.70,0.37,2.29,688.00,2.55E-04,2.91E-03,0.79,−1.10,-0.75
5,9,35,0.24,9.90,93.70,0.77,5.20,0.52,2.25,690.00,3.59E-04,4.10E-03,0.79,−1.10,-0.78
40,9,35,0.17,10.00,101.60,0.96,2.00,0.20,3.24,719.00,1.44E-04,1.64E-03,0.82,−1.10,-0.62
40,9,35,0.17,9.80,97.30,0.95,4.90,0.49,3.29,720.00,3.53E-04,4.03E-03,0.82,−1.10,-0.78
40,9,35,0.16,9.90,91.40,0.94,4.50,0.45,3.11,723.00,3.26E-04,3.72E-03,0.83,−1.06,-0.82
40,9,35,0.15,10.00,100.90,0.92,3.20,0.32,3.24,730.00,2.34E-04,2.67E-03,0.83,−1.10,-0.80
40,9,35,0.10,9.90,94.10,0.73,12.80,1.28,2.66,740.00,9.48E-04,1.08E-02,0.85,−1.11,-0.77
40,8.3,19,0.65,5.10,48.80,0.81,8.70,0.87,2.69,752.00,6.55E-04,7.47E-03,0.86,−1.14,-0.53
40,9.6,65,0.09,19.70,187.80,0.98,2.00,0.20,3.47,754.00,1.51E-04,1.72E-03,0.86,−1.05,-0.85
5,10,35,0.05,9.90,93.60,0.72,6.90,0.69,2.30,773.00,5.34E-04,6.09E-03,0.88,−1.06,-0.82
40,8.3,35,0.82,9.80,93.90,1.10,5.20,0.52,4.33,784.00,4.08E-04,4.66E-03,0.90,−1.05,-0.57
40,9,35,0.15,9.90,98.40,0.91,2.30,0.23,3.20,785.00,1.81E-04,2.06E-03,0.90,−1.07,-0.81
5,10.5,285,0.04,92.50,882.10,0.83,12.40,1.24,2.46,789.00,9.79E-04,1.12E-02,0.90,−1.03,-0.80
5,9,37,0.33,10.50,95.20,0.91,9.60,0.96,2.36,800.00,7.69E-04,8.77E-03,0.91,−1.03,-0.84
5,9,35,0.22,10.00,98.90,0.72,3.80,0.38,2.35,820.00,3.12E-04,3.56E-03,0.94,−1.04,-0.82
25,8.3,35,0.84,9.70,95.10,0.94,4.80,0.48,3.02,830.00,3.99E-04,4.55E-03,0.95,−1.03,-0.80
25,8.3,36,0.74,9.90,96.10,0.89,3.70,0.37,3.34,932.00,3.45E-04,3.94E-03,1.06,−0.97,-1.03
25,8.3,36,1.26,9.80,96.70,1.11,5.90,0.59,3.10,976.00,5.76E-04,6.58E-03,1.11,−0.97,-1.04
25,8.3,36,1.25,9.60,94.60,1.11,5.70,0.57,3.57,1131.00,6.45E-04,7.36E-03,1.29,−0.91,-1.17
25,8.3,37,1.63,10.30,96.50,1.23,6.30,0.63,4.04,1355.00,8.54E-04,9.75E-03,1.55,−0.81,-1.41
5,8.3,37,2.15,10.00,95.20,1.07,6.60,0.66,3.19,1369.00,9.04E-04,1.03E-02,1.56,−0.81,-1.24
25,8.3,36,1.25,10.00,94.90,1.12,4.60,0.46,3.94,1387.00,6.39E-04,7.29E-03,1.58,−0.79,-1.47
25,8.3,35,1.56,9.60,96.10,1.21,5.10,0.51,4.21,1477.00,7.54E-04,8.60E-03,1.69,−0.79,-1.50
25,8.3,36,1.55,9.90,94.30,1.21,4.30,0.43,4.18,1503.00,6.47E-04,7.38E-03,1.72,−0.76,-1.37
